,mention,without_add_symbol,expansion
203,@repchriscollins,repchriscollins,repchriscollins
204,@reploubarletta,reploubarletta,reploubarletta
205,@repreneeellmers,repreneeellmers,repreneeellmers
206,@reptommarino,reptommarino,reptommarino
207,@reuters,reuters,reuters
208,@richlowry,richlowry,richlowry
209,@ricksantorum,ricksantorum,ricksantorum
210,@ringlingbros,ringlingbros,ringlingbros
211,@rondarousey,rondarousey,rondarousey
212,@ruthmarcus,ruthmarcus,ruthmarcus
213,@samaritanspurse,samaritanspurse,samaritanspurse
214,@sandiegopd,sandiegopd,sandiegopd
215,@sarahpalinusa,sarahpalinusa,sarahpalinusa
216,@scottienhughes,scottienhughes,scottienhughes
217,@scottwalker,scottwalker,scottwalker
218,@seanhannity,seanhannity,seanhannity
219,@secupp,secupp,secupp
220,@senatemajldr,senatemajldr,senatemajldr
221,@sentedcruz,sentedcruz,sentedcruz
222,@serenawilliams,serenawilliams,serenawilliams
223,@shellhouopen,shellhouopen,shellhouopen
224,@shepnewsteam,shepnewsteam,shepnewsteam
225,@sinow,sinow,sinow
226,@slate,slate,slate
227,@speakerryan,speakerryan,speakerryan
228,@stjude,stjude,stjude
229,@stuartpstevens,stuartpstevens,stuartpstevens
230,@surveyusa,surveyusa,surveyusa
231,@talkersmagazine,talkersmagazine,talkersmagazine
232,@teamcavuto,teamcavuto,teamcavuto
233,@teamsters,teamsters,teamsters
234,@teamtrump,teamtrump,teamtrump
235,@tedcruz,tedcruz,tedcruz
236,@tgowdysc,tgowdysc,tgowdysc
237,@thebrodyfile,thebrodyfile,thebrodyfile
238,@thefive,thefive,thefive
239,@thefix,thefix,thefix
240,@thejuanwilliams,thejuanwilliams,thejuanwilliams
241,@therickwilson,therickwilson,therickwilson
242,@thetodaysgolfer,thetodaysgolfer,thetodaysgolfer
243,@theview,theview,theview
244,@thisweekabc,thisweekabc,thisweekabc
245,@time,time,time
246,@timkaine,timkaine,timkaine
247,@tngcbedminster,tngcbedminster,tngcbedminster
248,@todayshow,todayshow,todayshow
249,@tombarrackjr,tombarrackjr,tombarrackjr
250,@tomllamasabc,tomllamasabc,tomllamasabc
251,@tonyschwartz,tonyschwartz,tonyschwartz
252,@traceadkins,traceadkins,traceadkins
253,@trump,trump,trump
254,@trumpdc,trumpdc,trumpdc
255,@trumpdoonbeg,trumpdoonbeg,trumpdoonbeg
256,@trumpdoral,trumpdoral,trumpdoral
257,@trumpgolf,trumpgolf,trumpgolf
258,@trumpscotland,trumpscotland,trumpscotland
259,@trumptowerny,trumptowerny,trumptowerny
260,@trumpturnberry,trumpturnberry,trumpturnberry
261,@trumpwomenstour,trumpwomenstour,trumpwomenstour
262,@twitternyc,twitternyc,twitternyc
263,@umassamherst,umassamherst,umassamherst
264,@unionleader,unionleader,unionleader
265,@urbandaleschool,urbandaleschool,urbandaleschool
266,@usatoday,usatoday,usatoday
267,@uscg,uscg,uscg
268,@vanityfair,vanityfair,vanityfair
269,@washingtonpost,washingtonpost,washingtonpost
270,@washtimes,washtimes,washtimes
271,@whoopigoldberg,whoopigoldberg,whoopigoldberg
272,@williebosshog,williebosshog,williebosshog
273,@wsj,wsj,wsj
274,@youngdemstrump,youngdemstrump,youngdemstrump
